zpid,price,bedrooms,bathrooms,livingArea,lotAreaValue,yearBuilt,homeType,latitude,longitude,city,zipcode,zestimate,rentZestimate,daysOnZillow,has_zestimate,has_rent_zestimate
305340899,450000,4.0,3.0,1943.0,6769.224,2018.0,SINGLE_FAMILY,29.865578,-95.19615,Houston,77044,439700.0,2099.0,18,1,1
112161921,699000,4.0,4.0,4240.0,8385.3,2010.0,SINGLE_FAMILY,29.954235,-95.16558,Houston,77044,680600.0,4099.0,11,1,1
89641740,535000,5.0,4.0,4603.0,9221.652,2008.0,SINGLE_FAMILY,29.961273,-95.160866,Houston,77044,533700.0,4300.0,0,1,1
28549516,498000,5.0,3.0,3042.0,7993.26,2000.0,SINGLE_FAMILY,29.93202,-95.185394,Houston,77044,498000.0,2998.0,0,1,1
123239699,725000,5.0,4.0,3969.0,0.3016,2015.0,SINGLE_FAMILY,29.968948,-95.1575,Houston,77044,696000.0,4505.0,89,1,1
123238565,459000,4.0,4.0,3420.0,7501.032,2013.0,SINGLE_FAMILY,29.92655,-95.16345,Houston,77044,444100.0,3200.0,34,1,1
123224089,500000,4.0,4.0,2989.0,10058.004,2019.0,SINGLE_FAMILY,29.971806,-95.15646,Houston,77044,483700.0,2995.0,48,1,1
62566955,314900,3.0,2.0,2008.0,7392.132,2002.0,SINGLE_FAMILY,29.932158,-95.16989,Houston,77044,303900.0,2100.0,18,1,1
118401078,249900,3.0,2.0,1572.0,4652.208,2011.0,SINGLE_FAMILY,29.864971,-95.18907,Houston,77044,246700.0,1859.0,6,1,1
121106557,554000,5.0,4.0,3804.0,0.406,2012.0,SINGLE_FAMILY,29.96752,-95.15717,Houston,77044,531300.0,4200.0,119,1,1
112160658,465000,4.0,3.0,2675.0,8646.66,2010.0,SINGLE_FAMILY,29.961863,-95.17455,Houston,77044,463700.0,2700.0,1,1,1
305344564,315000,4.0,3.0,2592.0,0.2623,2018.0,SINGLE_FAMILY,29.976336,-95.15557,Houston,77044,305100.0,2949.0,20,1,1
124874686,629900,4.0,4.0,3564.0,0.2795,2014.0,SINGLE_FAMILY,29.978937,-95.1463,Houston,77044,613100.0,3820.0,13,1,1
123236617,650000,5.0,5.0,4299.0,0.2913,2013.0,SINGLE_FAMILY,29.919155,-95.19344,Houston,77044,627400.0,4999.0,29,1,1
112167723,475000,4.0,4.0,3483.0,7470.54,2010.0,SINGLE_FAMILY,29.92295,-95.18863,Houston,77044,456700.0,3200.0,103,1,1
112154571,509900,5.0,4.0,3489.0,0.2698,2010.0,SINGLE_FAMILY,29.961634,-95.1622,Houston,77044,490100.0,3200.0,91,1,1
161383974,300000,5.0,3.0,2700.0,6529.644,2015.0,SINGLE_FAMILY,29.874456,-95.13736,Houston,77044,291200.0,2594.0,32,1,1
28055718,219000,4.0,2.0,1350.0,7858.224,1959.0,SINGLE_FAMILY,29.632048,-95.41725,Houston,77045,208400.0,1749.0,35,1,1
28088447,285000,3.0,2.0,2232.0,6838.92,1965.0,SINGLE_FAMILY,29.63733,-95.4377,Houston,77045,272500.0,2250.0,61,1,1
112164782,585000,4.0,4.0,3275.0,0.2815999999999999,2010.0,SINGLE_FAMILY,29.959911,-95.16516,Houston,77044,565400.0,3099.0,38,1,1
27889618,395000,3.0,2.0,2120.0,1.0014,1970.0,SINGLE_FAMILY,29.832884,-95.221085,Houston,77044,379100.0,2199.0,51,1,1
28095593,218000,3.0,2.0,1012.0,5989.5,1966.0,SINGLE_FAMILY,29.615515,-95.4262,Houston,77045,218400.0,1500.0,4,1,1
28433952,240000,3.0,3.0,1664.0,6551.424,1984.0,SINGLE_FAMILY,29.640755,-95.42511,Houston,77045,228600.0,1997.0,117,1,1
337097125,332000,4.0,3.0,1841.0,2635.38,2020.0,SINGLE_FAMILY,29.641039,-95.44466,Houston,77045,321700.0,2250.0,88,1,1
27947689,998000,4.0,3.0,2210.0,0.9803,1955.0,SINGLE_FAMILY,29.635803,-95.449066,Houston,77045,948500.0,6016.0,82,1,1
97596787,399900,3.0,4.0,2168.0,1272.0,2012.0,TOWNHOUSE,29.66593,-95.40165,Houston,77045,387500.0,2996.0,61,1,1
28057411,230000,3.0,2.0,1484.0,6899.904,1963.0,SINGLE_FAMILY,29.629784,-95.46265,Houston,77045,218400.0,1734.0,95,1,1
80548084,189998,3.0,1.0,1050.0,5501.628,2005.0,SINGLE_FAMILY,29.643284,-95.42837,Houston,77045,185300.0,1450.0,10,1,1
97652116,310000,3.0,2.0,1937.0,5039.892,2018.0,SINGLE_FAMILY,29.61768,-95.44079,Houston,77045,299700.0,1999.0,145,1,1
